模型,字段,总样本数,准确率,准确率_lo,准确率_hi,精确率,精确率_lo,精确率_hi,召回率,召回率_lo,召回率_hi,F1,F1_lo,F1_hi
4b 70 8shot,EM-溶骨性病变数量,69,0.91,0.85,0.97,0.92,0.86,0.96,0.91,0.85,0.97,0.88,0.79,0.96
4b 70 8shot,EM-Deauville评分,69,0.65,0.54,0.75,0.72,0.63,0.85,0.0,0.55,0.71,0.68,0.57,0.79
4b 70 8shot,PM-数量,69,0.68,0.55,0.8,,,,0.68,0.55,0.79,0.57,0.42,0.72
4b 70 8shot,PM-溶骨性病变数量,69,0.75,0.64,0.86,,,,0.75,0.64,0.86,0.65,0.5,0.79
4b 70 8shot,PM-Deauville评分,69,0.72,0.62,0.83,,,,0.72,0.62,0.83,0.62,0.5,0.76
4b 70 8shot,骨折-有/无,69,0.77,0.68,0.86,0.87,0.77,0.94,0.77,0.68,0.83,0.81,0.72,0.88
4b 70 8shot,骨折-部位,69,0.83,0.74,0.91,0.83,0.75,0.92,0.83,0.74,0.91,0.82,0.71,0.91
4b 70 8shot,骨折-新发/陈旧,69,0.84,0.74,0.93,0.85,0.76,0.93,0.84,0.74,0.93,0.83,0.72,0.92
4b 70 8shot,骨折-是否MM引起,69,0.81,0.72,0.88,0.0,0.79,0.9,0.81,0.72,0.88,0.79,0.69,0.88
4b 70 8shot,手术证据-有/无,69,0.61,0.48,0.71,0.93,0.87,1.0,0.61,0.49,0.71,0.73,0.62,0.82
4b 70 8shot,手术证据-类型,69,0.9,0.83,0.96,0.0,0.75,0.94,0.9,0.83,0.96,0.86,0.76,0.94
4b 70 0 shot,PET阳性/阴性,69,0.97,0.91,1.0,0.98,0.96,1.0,0.97,0.91,1.0,0.97,0.93,1.0
4b 70 0 shot,骨髓代谢是否增高,69,0.71,0.59,0.83,0.0,0.78,0.85,0.71,0.59,0.83,0.65,0.5,0.8
4b 70 0 shot,长骨高代谢,69,0.84,0.74,0.91,0.0,0.79,0.94,0.84,0.74,0.91,0.82,0.71,0.91
4b 70 0 shot,骨质破坏,69,0.9,0.81,0.96,0.92,0.86,0.96,0.9,0.81,0.96,0.9,0.82,0.96
4b 70 0 shot,FLs-部位,69,0.71,0.61,0.83,0.8,0.7,0.92,0.71,0.61,0.83,0.74,0.65,0.84
4b 70 0 shot,FLs-数量,69,0.67,0.54,0.78,0.62,0.5,0.79,0.67,0.54,0.78,0.64,0.52,0.77
4b 70 0 shot,FLs-溶骨性病变数量,69,0.46,0.33,0.57,0.48,0.36,0.65,0.46,0.33,0.57,0.45,0.31,0.56
4b 70 0 shot,FLs-Deauville评分,69,0.65,0.55,0.77,0.0,0.48,0.81,0.65,0.55,0.77,0.59,0.47,0.72
4b 70 0 shot,EM-部位,69,0.91,0.83,0.97,0.94,0.9,0.98,0.91,0.83,0.97,0.92,0.85,0.97
4b 70 0 shot,EM-数量,69,0.65,0.55,0.75,0.84,0.72,0.94,0.0,0.55,0.74,0.72,0.61,0.81
4b 70 0 shot,EM-溶骨性病变数量,69,0.88,0.8,0.96,0.81,0.66,0.93,0.88,0.8,0.96,0.84,0.72,0.95
4b 70 0 shot,EM-Deauville评分,69,0.81,0.72,0.91,0.0,0.76,0.92,0.81,0.72,0.9,0.76,0.63,0.88
4b 70 0 shot,PM-数量,69,0.67,0.54,0.77,0.84,0.74,0.93,0.67,0.54,0.77,0.73,0.62,0.82
4b 70 0 shot,PM-溶骨性病变数量,69,0.81,0.7,0.9,0.0,0.84,0.88,0.81,0.7,0.9,0.76,0.61,0.88
4b 70 0 shot,PM-Deauville评分,69,0.77,0.68,0.87,,,,0.77,0.68,0.87,0.69,0.56,0.82
4b 70 0 shot,骨折-有/无,69,0.94,0.9,0.99,0.0,0.91,0.99,0.94,0.9,0.99,0.94,0.88,0.99
4b 70 0 shot,骨折-部位,69,0.9,0.83,0.96,0.9,0.83,0.96,0.9,0.83,0.96,0.9,0.81,0.96
4b 70 0 shot,骨折-新发/陈旧,69,0.9,0.81,0.96,0.91,0.84,0.97,0.9,0.81,0.96,0.9,0.82,0.96
4b 70 0 shot,骨折-是否MM引起,69,0.84,0.75,0.91,0.89,0.82,0.95,0.84,0.76,0.91,0.86,0.78,0.92
4b 70 0 shot,手术证据-有/无,69,0.97,0.93,1.0,0.0,0.96,1.0,0.97,0.93,1.0,0.96,0.91,1.0
4b 70 0 shot,手术证据-类型,69,0.91,0.84,0.97,,,,0.91,0.84,0.97,0.87,0.77,0.96
外部验证_col3,PET阳性/阴性,162,0.91,0.86,0.95,0.93,0.9,0.96,0.91,0.86,0.95,0.91,0.87,0.95
外部验证_col3,骨髓代谢是否增高,162,0.86,0.81,0.91,0.0,0.8,0.93,0.86,0.81,0.91,0.85,0.8,0.9
外部验证_col3,长骨高代谢,162,0.88,0.83,0.93,0.0,0.86,0.92,0.88,0.83,0.93,0.87,0.82,0.92
外部验证_col3,骨质破坏,162,0.93,0.89,0.97,0.0,0.9,0.98,0.93,0.89,0.97,0.93,0.89,0.97
外部验证_col3,FLs-部位,162,0.84,0.78,0.9,0.87,0.8,0.95,0.84,0.78,0.9,0.85,0.79,0.91
外部验证_col3,FLs-数量,162,0.69,0.62,0.75,0.71,0.64,0.79,0.69,0.62,0.75,0.68,0.61,0.75
外部验证_col3,FLs-溶骨性病变数量,162,0.76,0.7,0.81,0.78,0.72,0.84,0.76,0.7,0.81,0.77,0.71,0.82
外部验证_col3,FLs-Deauville评分,162,0.83,0.78,0.88,0.85,0.8,0.9,0.83,0.78,0.88,0.84,0.79,0.88
外部验证_col3,EM-部位,162,0.91,0.86,0.96,0.92,0.87,0.96,0.91,0.86,0.96,0.91,0.86,0.95
外部验证_col3,EM-数量,162,0.9,0.85,0.93,0.89,0.84,0.94,0.9,0.84,0.94,0.89,0.84,0.93
外部验证_col3,EM-溶骨性病变数量,162,0.98,0.96,1.0,0.98,0.95,1.0,0.98,0.96,1.0,0.98,0.95,1.0
外部验证_col3,EM-Deauville评分,162,0.93,0.89,0.96,0.0,0.91,0.98,0.93,0.9,0.97,0.93,0.9,0.97
外部验证_col3,PM-数量,162,0.83,0.78,0.88,0.86,0.78,0.92,0.83,0.78,0.88,0.83,0.77,0.88
外部验证_col3,PM-溶骨性病变数量,162,0.92,0.88,0.96,0.93,0.9,0.97,0.92,0.88,0.96,0.9,0.85,0.96
外部验证_col3,PM-Deauville评分,162,0.94,0.91,0.97,0.93,0.9,0.97,0.94,0.91,0.97,0.93,0.89,0.97
外部验证_col3,骨折-有/无,162,0.91,0.86,0.95,0.0,0.87,0.95,0.91,0.86,0.95,0.9,0.86,0.95
外部验证_col3,骨折-部位,162,0.9,0.85,0.94,0.9,0.85,0.94,0.9,0.85,0.94,0.9,0.85,0.94
外部验证_col3,骨折-新发/陈旧,162,0.88,0.83,0.93,0.87,0.82,0.93,0.88,0.83,0.93,0.88,0.82,0.92
外部验证_col3,骨折-是否MM引起,162,0.88,0.83,0.93,0.87,0.83,0.93,0.88,0.83,0.93,0.88,0.83,0.93
外部验证_col3,手术证据-有/无,162,0.91,0.86,0.95,0.0,0.87,0.95,0.91,0.86,0.95,0.9,0.86,0.95
外部验证_col3,手术证据-类型,162,0.93,0.89,0.96,0.93,0.89,0.96,0.93,0.89,0.96,0.93,0.89,0.96
外部验证_col7,PET阳性/阴性,162,0.93,0.9,0.97,0.96,0.94,0.98,0.93,0.9,0.97,0.94,0.91,0.97
外部验证_col7,骨髓代谢是否增高,162,0.92,0.88,0.96,0.0,0.9,0.96,0.92,0.88,0.96,0.91,0.87,0.95
外部验证_col7,长骨高代谢,162,0.94,0.9,0.97,0.0,0.94,0.98,0.94,0.9,0.97,0.93,0.88,0.97
外部验证_col7,骨质破坏,162,0.98,0.96,0.99,0.0,0.97,1.0,0.98,0.96,0.99,0.97,0.95,0.99
外部验证_col7,FLs-部位,162,0.87,0.81,0.91,0.91,0.86,0.96,0.87,0.81,0.91,0.88,0.83,0.93
外部验证_col7,FLs-数量,162,0.78,0.72,0.83,0.81,0.75,0.86,0.78,0.72,0.83,0.77,0.7,0.83
外部验证_col7,FLs-溶骨性病变数量,162,0.83,0.77,0.89,0.85,0.79,0.91,0.83,0.77,0.89,0.84,0.78,0.9
外部验证_col7,FLs-Deauville评分,162,0.87,0.81,0.92,0.87,0.81,0.92,0.87,0.81,0.92,0.87,0.81,0.92
外部验证_col7,EM-部位,162,0.94,0.9,0.97,0.94,0.9,0.98,0.94,0.9,0.97,0.94,0.89,0.97
外部验证_col7,EM-数量,162,0.92,0.88,0.96,0.93,0.88,0.97,0.92,0.88,0.96,0.92,0.87,0.96
外部验证_col7,EM-溶骨性病变数量,162,0.99,0.98,1.0,0.99,0.98,1.0,0.99,0.98,1.0,0.99,0.97,1.0
外部验证_col7,EM-Deauville评分,162,0.96,0.94,0.99,0.0,0.97,0.99,0.96,0.94,0.99,0.96,0.94,0.99
外部验证_col7,PM-数量,162,0.84,0.8,0.89,0.89,0.86,0.93,0.0,0.8,0.89,0.84,0.78,0.89
外部验证_col7,PM-溶骨性病变数量,162,0.93,0.88,0.97,0.94,0.91,0.97,0.93,0.88,0.97,0.91,0.86,0.96
外部验证_col7,PM-Deauville评分,162,0.96,0.93,0.98,0.96,0.92,0.98,0.96,0.93,0.98,0.95,0.91,0.98
外部验证_col7,骨折-有/无,162,0.98,0.95,1.0,0.0,0.96,1.0,0.98,0.95,1.0,0.97,0.95,1.0
外部验证_col7,骨折-部位,162,0.99,0.97,1.0,0.99,0.97,1.0,0.99,0.97,1.0,0.99,0.97,1.0
外部验证_col7,骨折-新发/陈旧,162,0.99,0.96,1.0,0.99,0.96,1.0,0.99,0.96,1.0,0.99,0.96,1.0
外部验证_col7,骨折-是否MM引起,162,0.99,0.97,1.0,0.99,0.97,1.0,0.99,0.97,1.0,0.99,0.97,1.0
外部验证_col7,手术证据-有/无,162,0.99,0.98,1.0,0.0,1.0,1.0,0.99,0.98,1.0,0.99,0.97,1.0
外部验证_col7,手术证据-类型,162,0.99,0.98,1.0,0.99,0.98,1.0,0.99,0.98,1.0,0.99,0.98,1.0
